u, y, t
-76,-144999,7743
-76,-144880,7748
-76,-144762,7753
-76,-144637,7758
-76,-144520,7763
-76,-144425,7768
-77,-144302,7773
-77,-144179,7778
-77,-144049,7783
-77,-143922,7788
-77,-143791,7793
-77,-143665,7798
-78,-143533,7803
-78,-143433,7808
-78,-143309,7813
-78,-143189,7818
-78,-143060,7823
-78,-142930,7828
-79,-142806,7833
-79,-142677,7838
-79,-142545,7843
-79,-142413,7848
-79,-142306,7853
-79,-142176,7858
-80,-142041,7863
-80,-141903,7868
-80,-141767,7873
-80,-141629,7878
-80,-141493,7883
-80,-141366,7888
-81,-141239,7894
-81,-141106,7899
-81,-140980,7904
-81,-140844,7909
-81,-140713,7914
-81,-140573,7919
-82,-140440,7924
-82,-140301,7929
-82,-140164,7934
-82,-140055,7939
-82,-139916,7944
-83,-139771,7949
-83,-139632,7954
-83,-139491,7959
-83,-139359,7964
-83,-139228,7969
-83,-139101,7974
-84,-138993,7979
-84,-138859,7984
-84,-138721,7989
-84,-138583,7994
-84,-138447,7999
-84,-138310,8004
-85,-138170,8009
-85,-138026,8014
-85,-137879,8019
-85,-137764,8024
-85,-137616,8029
-85,-137474,8034
-86,-137333,8039
-86,-137205,8044
-86,-137067,8049
-86,-136932,8054
-86,-136789,8059
-86,-136677,8064
-87,-136530,8069
-87,-136390,8074
-87,-136245,8079
-87,-136100,8084
-87,-135958,8089
-87,-135807,8094
-88,-135664,8099
-88,-135510,8104
-88,-135396,8109
-88,-135259,8114
-88,-135120,8119
-88,-134979,8124
-89,-134835,8129
-89,-134688,8134
-89,-134538,8139
-89,-134390,8144
-89,-134240,8150
-89,-134089,8155
-90,-133936,8160
-90,-133784,8165
-90,-133630,8170
-90,-133475,8175
-90,-133325,8180
-91,-133179,8185
-91,-133030,8190
-91,-132916,8195
-91,-132769,8200
-91,-132614,8205
-91,-132460,8210
-92,-132305,8215
-92,-132155,8220
-92,-131994,8225
-92,-131836,8230
-92,-131711,8235
-92,-131552,8240
-93,-131395,8245
-93,-131240,8250
-93,-131085,8255
-93,-130932,8260
-93,-130778,8265
-93,-130619,8270
-94,-130461,8275
-94,-130334,8280
-94,-130175,8285
-94,-130012,8290
-94,-129847,8295
-94,-129682,8300
-95,-129516,8305
-95,-129360,8310
-95,-129208,8315
-95,-129081,8320
-95,-128926,8325
-95,-128761,8330
-96,-128595,8335
-96,-128436,8340
